policyNumber,title,category,subCategory,owner,status,effectiveDate,reviewDate,legalReview,chapStandard,copReference,corridorRef,blobFilename,notes
3.4.03,Minimum Necessary Use and Disclosure of PHI,3.4 Privacy & Health Information,3.4 Privacy & Health Info,Compliance Director,published,,,FALSE,HSLG.6,45 CFR 164.502,Ops 6-005,3-4-03_Minimum_Necessary_Use_and_Disclosure_of_PHI.docx,
3.4.04,Uses and Disclosures of PHI,3.4 Privacy & Health Information,3.4 Privacy & Health Info,Compliance Director,published,,,FALSE,HSLG.6,45 CFR 164.506,Ops 6-007,3-4-04_Uses_and_Disclosures_of_PHI.docx,
3.4.05,Authorization for Use or Disclosure of PHI,3.4 Privacy & Health Information,3.4 Privacy & Health Info,Compliance Director,published,,,FALSE,HSLG.6,45 CFR 164.508,Ops 6-008,3-4-05_Authorization_for_Use_or_Disclosure_of_PHI.docx,
3.4.06,Patient Requests Regarding PHI,3.4 Privacy & Health Information,3.4 Privacy & Health Info,Compliance Director,published,,,FALSE,HSLG.6,45 CFR 164.522,Ops 6-011,3-4-06_Patient_Requests_Regarding_PHI.docx,
3.4.07,Privacy of Deceased Individuals,3.4 Privacy & Health Information,3.4 Privacy & Health Info,Compliance Director,published,,,FALSE,HSLG.6,45 CFR 164,Ops 6-010,3-4-07_Privacy_of_Deceased_Individuals.docx,
3.4.08,"Fundraising, Marketing, and PHI",3.4 Privacy & Health Information,3.4 Privacy & Health Info,Compliance Director,published,,,FALSE,HSLG.6,45 CFR 164,Ops 6-016,3-4-08_Fundraising_Marketing_and_PHI.docx,
3.4.09,Privacy Training,3.4 Privacy & Health Information,3.4 Privacy & Health Info,Compliance Director,published,,,FALSE,HSLG.6,45 CFR 164.530,Ops 6-018,3-4-09_Privacy_Training.docx,
3.4.10,Sanctions for Privacy and Security Violations,3.4 Privacy & Health Information,3.4 Privacy & Health Info,Compliance Director,published,,,FALSE,HSLG.6,45 CFR 164.530,Ops 6-019,3-4-10_Sanctions_for_Privacy_and_Security_Violations.docx,
3.4.11,Breach Analysis and Notification,3.4 Privacy & Health Information,3.4 Privacy & Health Info,Compliance Director,published,,,FALSE,HSLG.6,45 CFR 164.400,Ops 6-025,3-4-11_Breach_Analysis_and_Notification.docx,
3.4.12,Security Management Process,3.4 Privacy & Health Information,3.4 Privacy & Health Info,Compliance Director,published,,,FALSE,HSLG.6,45 CFR 164.308,Ops 6-027,3-4-12_Security_Management_Process.docx,
3.4.13,Workforce Security,3.4 Privacy & Health Information,3.4 Privacy & Health Info,Compliance Director,published,,,FALSE,HSLG.6,45 CFR 164.308,Ops 6-028,3-4-13_Workforce_Security.docx,
3.4.14,Security Awareness and Training,3.4 Privacy & Health Information,3.4 Privacy & Health Info,Compliance Director,published,,,FALSE,HSLG.6,45 CFR 164.308,Ops 6-030,3-4-14_Security_Awareness_and_Training.docx,
3.4.15,Security Incident Procedures,3.4 Privacy & Health Information,3.4 Privacy & Health Info,Compliance Director,published,,,FALSE,HSLG.6,45 CFR 164.308,Ops 6-031,3-4-15_Security_Incident_Procedures.docx,
3.4.16,IT Contingency Plan,3.4 Privacy & Health Information,3.4 Privacy & Health Info,Compliance Director,published,,,FALSE,HSLG.6,45 CFR 164.308,Ops 6-032,3-4-16_IT_Contingency_Plan.docx,
3.4.17,Access Controls and Technical Safeguards,3.4 Privacy & Health Information,3.4 Privacy & Health Info,Compliance Director,published,,,FALSE,HSLG.6,45 CFR 164.308,Ops 6-029,3-4-17_Access_Controls_and_Technical_Safeguards.docx,
3.4.18,Workstation and Device Security,3.4 Privacy & Health Information,3.4 Privacy & Health Info,Compliance Director,published,,,FALSE,HSLG.6,45 CFR 164.310,Ops 6-034,3-4-18_Workstation_and_Device_Security.docx,
3.4.19,Clinical Record Contents and Assembly,3.4 Privacy & Health Information,3.4 Privacy & Health Info,Clinical Director,published,,,FALSE,HSLG.5,418.104,Ops 6-042,3-4-19_Clinical_Record_Contents_and_Assembly.docx,
3.4.20,Record Retention,3.4 Privacy & Health Information,3.4 Privacy & Health Info,Compliance Director,published,,,FALSE,HSLG.5,418.104(c),Ops 6-001,3-4-20_Record_Retention.docx,
3.4.21,Access to Patient Information,3.4 Privacy & Health Information,3.4 Privacy & Health Info,Compliance Director,published,,,FALSE,HSLG.5 HSLG.6,418.104(c),Ops 6-002,3-4-21_Access_to_Patient_Information.docx,
3.4.22,Clinical and Service Data Collection,3.4 Privacy & Health Information,3.4 Privacy & Health Info,Compliance Director,published,,,FALSE,HSLG.5,,Ops 6-022,3-4-22_Clinical_and_Service_Data_Collection.docx,
3.4.23,Hospice Item Set,3.4 Privacy & Health Information,3.4 Privacy & Health Info,Compliance Director,published,,,FALSE,HQPI.2,418.312,Ops 6-044,3-4-23_Hospice_Item_Set.docx,
3.4.24,Abbreviations and Symbols,3.4 Privacy & Health Information,3.4 Privacy & Health Info,Clinical Director,published,,,FALSE,HSLG.5,,Ops 6-023,3-4-24_Abbreviations_and_Symbols.docx,
3.4.25,Safeguarding and Retrieval of Clinical Records,3.4 Privacy & Health Information,3.4 Privacy & Health Info,Compliance Director,published,,,FALSE,HSLG.5,418.104(c),Ops 6-020,3-4-25_Safeguarding_and_Retrieval_of_Clinical_Records.docx,
3.5.01,Quality Assessment and Performance Improvement Program,3.5 Quality & Compliance,3.5 Quality & Compliance,Compliance Director,published,,,FALSE,HQPI.1,418.58,Ops 3-001,3-5-01_Quality_Assessment_and_Performance_Improvement_Program.docx,
3.5.02,Patient-Focused Performance Improvement,3.5 Quality & Compliance,3.5 Quality & Compliance,Compliance Director,published,,,FALSE,HQPI.2,418.58,Ops 3-002,3-5-02_Patient-Focused_Performance_Improvement.docx,
3.5.03,CAHPS Hospice Survey,3.5 Quality & Compliance,3.5 Quality & Compliance,Compliance Director,published,,,FALSE,HQPI.2,418.312,Ops 3-003,3-5-03_CAHPS_Hospice_Survey.docx,
3.5.04,Incident Reporting,3.5 Quality & Compliance,3.5 Quality & Compliance,Compliance Director,published,,,FALSE,HQPI.3 HQPI.4,418.58,Ops 3-004,3-5-04_Incident_Reporting.docx,
3.5.05,Serious Adverse Events,3.5 Quality & Compliance,3.5 Quality & Compliance,Compliance Director,published,,,FALSE,HQPI.4,418.58,Ops 3-005,3-5-05_Serious_Adverse_Events.docx,
3.5.06,Root Cause Analysis and Action Planning,3.5 Quality & Compliance,3.5 Quality & Compliance,Compliance Director,published,,,FALSE,HQPI.4,418.58,Ops 3-006,3-5-06_Root_Cause_Analysis_and_Action_Planning.docx,
3.5.07,Clinical Record Review,3.5 Quality & Compliance,3.5 Quality & Compliance,Compliance Director,published,,,FALSE,HQPI.2 HSLG.5,418.104,Ops 3-007,3-5-07_Clinical_Record_Review.docx,
3.5.08,External Databases and Benchmarking,3.5 Quality & Compliance,3.5 Quality & Compliance,Compliance Director,published,,,FALSE,HQPI.2,,Ops 3-008,3-5-08_External_Databases_and_Benchmarking.docx,
3.5.09,Uniform Quality of Care,3.5 Quality & Compliance,3.5 Quality & Compliance,Compliance Director,published,,,FALSE,HQPI.1,418.100,Ops 8-014,3-5-09_Uniform_Quality_of_Care.docx,
3.6.01,"Fraud, Waste, and Abuse Prevention",3.6 Financial & Billing,3.6 Financial & Billing,Compliance Director,published,,,TRUE,CP.3,,Ops 8-023,3-6-01_Fraud_Waste_and_Abuse_Prevention.docx,
3.6.02,Financial Management and Control,3.6 Financial & Billing,3.6 Financial & Billing,Finance Director,published,,,FALSE,HSLG.8,,Ops 5-001,3-6-02_Financial_Management_and_Control.docx,
3.6.03,Annual Operating Budget,3.6 Financial & Billing,3.6 Financial & Billing,Finance Director,published,,,FALSE,HSLG.8,,Ops 5-006,3-6-03_Annual_Operating_Budget.docx,
3.6.04,Billing and Collections,3.6 Financial & Billing,3.6 Financial & Billing,Finance Director,published,,,FALSE,HSLG.8,418.400,Ops 5-009,3-6-04_Billing_and_Collections.docx,
3.6.05,Accounts Receivable Review,3.6 Financial & Billing,3.6 Financial & Billing,Finance Director,published,,,FALSE,HSLG.8,,Ops 5-010,3-6-05_Accounts_Receivable_Review.docx,
3.6.06,Charge Verification,3.6 Financial & Billing,3.6 Financial & Billing,Finance Director,published,,,FALSE,HSLG.8,,Ops 5-008,3-6-06_Charge_Verification.docx,
3.6.07,Cash Receipts,3.6 Financial & Billing,3.6 Financial & Billing,Finance Director,published,,,FALSE,HSLG.8,,Ops 5-013,3-6-07_Cash_Receipts.docx,
3.6.08,Purchasing Authorization and Accounts Payable,3.6 Financial & Billing,3.6 Financial & Billing,Finance Director,published,,,FALSE,HSLG.8,,Ops 5-014,3-6-08_Purchasing_Authorization_and_Accounts_Payable.docx,
3.6.09,Payroll Processing,3.6 Financial & Billing,3.6 Financial & Billing,Finance Director,published,,,FALSE,HSLG.8,,Ops 5-015,3-6-09_Payroll_Processing.docx,
3.6.10,Charity Care,3.6 Financial & Billing,3.6 Financial & Billing,Finance Director,published,,,FALSE,HSLG.8 HSLG.1,,Ops 5-017,3-6-10_Charity_Care.docx,
3.6.11,Donated Funds,3.6 Financial & Billing,3.6 Financial & Billing,Finance Director,published,,,FALSE,HSLG.8,,Ops 5-018,3-6-11_Donated_Funds.docx,
3.6.12,Fee Determination,3.6 Financial & Billing,3.6 Financial & Billing,Finance Director,published,,,FALSE,HSLG.8,,Ops 5-005,3-6-12_Fee_Determination.docx,
3.6.13,Bad Debt Policy,3.6 Financial & Billing,3.6 Financial & Billing,Finance Director,published,,,FALSE,HSLG.8,,Ops 5-011,3-6-13_Bad_Debt_Policy.docx,
3.6.14,Contractual Allowances,3.6 Financial & Billing,3.6 Financial & Billing,Finance Director,published,,,FALSE,HSLG.8,,Ops 5-012,3-6-14_Contractual_Allowances.docx,
3.6.15,Fixed Assets and Depreciation,3.6 Financial & Billing,3.6 Financial & Billing,Finance Director,published,,,FALSE,HSLG.8,,Ops 5-007,3-6-15_Fixed_Assets_and_Depreciation.docx,
3.6.16,Fiscal Solvency,3.6 Financial & Billing,3.6 Financial & Billing,Finance Director,published,,,FALSE,HSLG.8,,Ops 5-004,3-6-16_Fiscal_Solvency.docx,
3.6.17,Certificates of Insurance,3.6 Financial & Billing,3.6 Financial & Billing,Finance Director,published,,,FALSE,HSLG.8,,Ops 5-003,3-6-17_Certificates_of_Insurance.docx,
3.1.52,Medication Profile,3.1 Clinical Operations,3.1 Clinical Operations,Clinical Director,published,,,FALSE,HCDT.9,,Ops 2-004,3-1-52_Medication_Profile.docx,
3.1.53,Medication Identification for Administration,3.1 Clinical Operations,3.1 Clinical Operations,Clinical Director,published,,,FALSE,HCDT.9,,Ops 2-005,3-1-53_Medication_Identification_for_Administration.docx,
3.1.54,Medication Administration and Documentation,3.1 Clinical Operations,3.1 Clinical Operations,Clinical Director,published,,,FALSE,HCDT.9,,Ops 2-006,3-1-54_Medication_Administration_and_Documentation.docx,
3.1.55,Patient Self-Administration of Medication,3.1 Clinical Operations,3.1 Clinical Operations,Clinical Director,published,,,FALSE,HCDT.16,,Ops 2-007,3-1-55_Patient_Self-Administration_of_Medication.docx,
3.1.56,Home Use and Disposal of Controlled Substances,3.1 Clinical Operations,3.1 Clinical Operations,Clinical Director,published,,,FALSE,HCDT.9,21 CFR,Ops 2-008,3-1-56_Home_Use_and_Disposal_of_Controlled_Substances.docx,
3.1.57,IV Administration of Medications,3.1 Clinical Operations,3.1 Clinical Operations,Clinical Director,published,,,FALSE,HCDT.9,,Ops 2-009,3-1-57_IV_Administration_of_Medications.docx,
3.1.58,IV Administration of Chemotherapy,3.1 Clinical Operations,3.1 Clinical Operations,Clinical Director,published,,,FALSE,HCDT.9,,Ops 2-010,3-1-58_IV_Administration_of_Chemotherapy.docx,
3.1.59,First Dose Policy,3.1 Clinical Operations,3.1 Clinical Operations,Clinical Director,published,,,FALSE,HCDT.9,,Ops 2-011,3-1-59_First_Dose_Policy.docx,
3.1.60,Crushing of Medications,3.1 Clinical Operations,3.1 Clinical Operations,Clinical Director,published,,,FALSE,HCDT.9,,Ops 2-012,3-1-60_Crushing_of_Medications.docx,
3.1.61,Pulse Rate Determination with Certain Drugs,3.1 Clinical Operations,3.1 Clinical Operations,Clinical Director,published,,,FALSE,HCDT.9,,Ops 2-013,3-1-61_Pulse_Rate_Determination_with_Certain_Drugs.docx,
3.1.62,Storage of Medications and Nutritional Products,3.1 Clinical Operations,3.1 Clinical Operations,Clinical Director,published,,,FALSE,HCDT.9,,Ops 2-014,3-1-62_Storage_of_Medications_and_Nutritional_Products.docx,
3.1.63,Medication Labeling,3.1 Clinical Operations,3.1 Clinical Operations,Clinical Director,published,,,FALSE,HCDT.9,,Ops 2-015,3-1-63_Medication_Labeling.docx,
3.1.64,Adverse Drug Reactions,3.1 Clinical Operations,3.1 Clinical Operations,Clinical Director,published,,,FALSE,HCDT.9,,Ops 2-016,3-1-64_Adverse_Drug_Reactions.docx,
3.1.65,Anaphylaxis Protocol,3.1 Clinical Operations,3.1 Clinical Operations,Clinical Director,published,,,FALSE,HCDT.9,,Ops 2-017,3-1-65_Anaphylaxis_Protocol.docx,
3.1.66,Medication Error,3.1 Clinical Operations,3.1 Clinical Operations,Clinical Director,published,,,FALSE,HCDT.9 HQPI.4,,Ops 2-018,3-1-66_Medication_Error.docx,
3.1.67,Medication Monitoring,3.1 Clinical Operations,3.1 Clinical Operations,Clinical Director,published,,,FALSE,HCDT.9,,Ops 2-019,3-1-67_Medication_Monitoring.docx,
3.1.68,Investigational Medications,3.1 Clinical Operations,3.1 Clinical Operations,Clinical Director,published,,,FALSE,HCDT.9,,Ops 2-020,3-1-68_Investigational_Medications.docx,
3.1.69,Home Glucose Monitoring,3.1 Clinical Operations,3.1 Clinical Operations,Clinical Director,published,,,FALSE,HCDT.9,,Ops 2-021,3-1-69_Home_Glucose_Monitoring.docx,
3.1.70,Waived Testing,3.1 Clinical Operations,3.1 Clinical Operations,Clinical Director,published,,,FALSE,HCDT.9,42 CFR 493,Ops 2-022,3-1-70_Waived_Testing.docx,
3.1.71,Safe and Effective Use of Medications,3.1 Clinical Operations,3.1 Clinical Operations,Clinical Director,published,,,FALSE,HCDT.9,,Ops 2-023,3-1-71_Safe_and_Effective_Use_of_Medications.docx,
3.1.72,Storage and Handling of Supplies and Gases,3.1 Clinical Operations,3.1 Clinical Operations,Clinical Director,published,,,FALSE,HCDT.9,,Ops 2-024,3-1-72_Storage_and_Handling_of_Supplies_and_Gases.docx,
4.01,Volunteer Program Administration,4.xx Volunteer,,Volunteer Coordinator,published,,,FALSE,HCDT.21 HSRM.30,418.78,HR 1-039,4-01_Volunteer_Program_Administration.docx,
4.02,Volunteer Recruitment and Selection,4.xx Volunteer,,Volunteer Coordinator,published,,,FALSE,HSRM.30 HSRM.31,418.78(a),HR 1-039,4-02_Volunteer_Recruitment_and_Selection.docx,
4.03,Volunteer Orientation and Training,4.xx Volunteer,,Volunteer Coordinator,published,,,FALSE,HSRM.30 HSRM.31,418.78(b),HR 1-039,4-03_Volunteer_Orientation_and_Training.docx,
4.04,Volunteer Supervision,4.xx Volunteer,,Volunteer Coordinator,published,,,FALSE,HSRM.31 HSLG.7,418.78(c),HR 1-039,4-04_Volunteer_Supervision.docx,
4.05,Volunteer Documentation,4.xx Volunteer,,Volunteer Coordinator,published,,,FALSE,HCDT.21 HSRM.30,418.78,HR 1-040,4-05_Volunteer_Documentation.docx,
4.06,Documentation of Volunteer Utilization,4.xx Volunteer,,Volunteer Coordinator,published,,,FALSE,HCDT.21 HSRM.30,418.78,HR 1-041,4-06_Documentation_of_Volunteer_Utilization.docx,
4.07,Volunteer Scope of Service,4.xx Volunteer,,Volunteer Coordinator,published,,,FALSE,HCDT.21,418.78,Ops 9-024,4-07_Volunteer_Scope_of_Service.docx,
4.08,Volunteer Competency Requirements,4.xx Volunteer,,Volunteer Coordinator,published,,,FALSE,HSRM.30 HSRM.31,418.78(b),HR 3-002,4-08_Volunteer_Competency_Requirements.docx,
